APN,Acreage,Address,Assessed Value,Asset Category,City,Coordinates,County,Land Use Description,Listed Owners,Market Value,State,Tax Year,ZIP
52-200-01-03-01-1-00-000,118.1724,9803 Beacon Ave,8209.0,Vacant Land,Kansas City,"[-94.354622717, 38.963678707]",Jackson County,Agricultural Land,Property Reserve Inc,68412.0,MO,2019,64134
05-186-0011,6.84,1150 S Tremont St,68400.0,Public & Semi-Public,Tremonton,"[-112.1664800764, 41.6983609934]",Box Elder County,Government/Public Use (General),Lds Cpb,68400.0,UT,2019,84337
16-20-157-005-0000,0.11,740 E Ashton Ave,68400.0,Public & Semi-Public,Salt Lake City,"[-111.8698964809, 40.7196549032]",Salt Lake County,Government/Public Use (General),Corp Of Pres Bishop Of Ch Of Jc Of LDS,68400.0,UT,2019,84106
002-220-002-6,39.23,,68397.0,Agricultural,Byron,"[-121.612552277, 37.843107956]",Contra Costa County,Orchard,Property Reserve Inc,68397.0,CA,2019,94514
61-900-03-01-00-0-00-000,121.382,12727 Sw Ward Rd,8202.0,Vacant Land,Lees Summit,"[-94.3902881791, 38.884122887]",Jackson County,Agricultural Land,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Property Reserve Inc",68352.0,MO,2019,64082
2827901000,33.87,Southside S Blvd,68340.0,Agricultural,Melba,"[-116.5243152134, 43.3560560463]",Canyon County,Farm,"Temple Salt Lake, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Intellectural Reserve Inc, Corporation Of The Presiding Bishop Of T, Presiding Bishop Of The, The Church of Jesus Christ of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The",68340.0,ID,2019,83641
04.08.200.005,39.0,,68310.0,Agricultural,Buckingham,"[-92.3844356309, 42.2778857237]",Tama County,Agricultural,"Deseret Trust Co, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Intellectural Reserve Inc, Alan Bott",68310.0,IA,2019,50612
22-29-476-013-0000,0.67,1223 E 7800 S,68300.0,Public & Semi-Public,Midvale,"[-111.8558195946, 40.6098135207]",Salt Lake County,Tax Exempt,Corp Of Pb Of Ch Jc Of LDS,68300.0,UT,2019,84047
575731,0.06,,68300.0,Vacant Land,Saint George,"[-113.6415431977, 37.1098541389]",Washington County,Residential Vacant Land,Suburban Land Reserve Inc,68300.0,UT,2019,84770
575715,0.07,,68300.0,Vacant Land,Saint George,"[-113.6409600463, 37.1096107302]",Washington County,Residential Vacant Land,Suburban Land Reserve Inc,68300.0,UT,2019,84770
575749,0.07,,68300.0,Vacant Land,Saint George,"[-113.6416519952, 37.1099620977]",Washington County,Residential Vacant Land,Suburban Land Reserve Inc,68300.0,UT,2019,84770
1-0389-301-0432-002,1.73,,68290.0,Special Purpose,Kennewick,"[-119.1786198949, 46.2040452096]",Benton County,"Clubs, Lodges/Professional Associations",Church Of Latter Day Saints,68290.0,WA,2019,99336
62-710-05-01-00-0-00-000,132.6394,1556 Sw Ward Rd,8194.0,Vacant Land,Lees Summit,"[-94.4020719427, 38.8924408729]",Jackson County,Agricultural Land,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Property Reserve Inc",68280.0,MO,2019,64081
04.07.200.004,37.32,,68210.0,Agricultural,Buckingham,"[-92.3991297551, 42.2777543275]",Tama County,Agricultural,"Deseret Trust Co, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Intellectural Reserve Inc, Alan Bott",68210.0,IA,2019,50612
10-503-00-03-001.00,137.15,N Reinking Rd,8180.0,Vacant Land,,"[-94.503985243, 39.298721987]",Clay County,Agricultural Land,Property Reserve Inc,68200.0,MO,2019,
00000912-00,78.5,,68163.0,Agricultural,,"[-111.9916134765, 42.16398567]",Franklin County,Agricultural,Corporation of The Presiding Bishop,68163.0,ID,2019,
9013-29-176-001,40.0,,68050.0,Vacant Land,Cedar Falls,"[-92.4090294983, 42.579575285]",Black Hawk County,Agricultural Land,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Alan Bott, Deseret Trust Co, Corporation Of The President Of The Church Of Jesus Christ Of Latter +, West Mountain Orchards",68050.0,IA,2019,50613
1749,87.0,,2510.0,Vacant Land,Quanah,"[-100.0911327453, 34.222627694]",Cottle County,Agricultural Land,Farmland Reserve Inc,68040.0,TX,2019,79252
54-02-09-200-008.000-016,39.196,1100 N N N,68000.0,Vacant Land,Linden,"[-86.8830606768, 40.195227609]",Montgomery County,Agricultural Land,Farmland Reserve Inc,68000.0,IN,2019,47955
00096-00090-00000-000261,80.0,,2320.0,Vacant Land,Crowell,"[-100.0459519282, 34.2052374241]",Foard County,Agricultural Land,Farmland Reserve Inc,68000.0,TX,2019,79227
23187,0.98,,,Public & Semi-Public,,"[-113.572649695, 37.0956561193]",Washington County,Tax Exempt,Lds Corp Of Pres Of Church,67900.0,UT,2019,
03-200-03-01-00-0-00-000,82.3258,Blue Valley Rd,8146.0,Vacant Land,Independence,"[-94.300523761, 39.2157994858]",Jackson County,Agricultural Land,Farmland Reserve Inc,67881.0,MO,2019,64058
202-27-005A,320.0,E Coolidge Ave,10176.0,Agricultural,Coolidge,"[-111.4598876941, 32.9775402358]",Pinal County,Field (All Soil Classes),"Temple Salt Lake, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Intellectural Reserve Inc, Church of Jesus Christ Latter Day Saints, Corporation Of The Presiding Bishop Of T",67840.0,AZ,2019,85128
28-03-426-005-0000,0.29,2535 E Newcastle Dr,67700.0,Special Purpose,Sandy,"[-111.8195779688, 40.5870356487]",Salt Lake County,Religious,Corp Of Pb Of Ch Jc Of LDS,67700.0,UT,2019,84093
10-041-0003,9.6646,Fairfield,3294.0,Vacant Land,Fairfield,"[-112.0850081487, 40.2592089705]",Utah County,General Vacant Land,Corporation of The Presiding Bishop,67700.0,UT,2019,84013
24-011-0017,0.41,277 S 7400 E,67650.0,Vacant Land,Huntsville,"[-111.7707520668, 41.2592000892]",Weber County,Commercial Vacant Land,Corp Of Presiding Bishop Church Of Jesus Christ Of Ld,67650.0,UT,2019,84317
07-08-32-400-002,60.0,,22550.0,Agricultural,,"[-88.3105652629, 40.2280830963]",Champaign County,Agricultural,Farmland Reserve Inc,67650.0,IL,2019,
04.08.200.006,37.0,,67580.0,Agricultural,Buckingham,"[-92.379714351, 42.2778660341]",Tama County,Agricultural,"Deseret Trust Co, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Intellectural Reserve Inc, Alan Bott",67580.0,IA,2019,50612
046-260-002-000,0.4583,,67552.0,Public & Semi-Public,Brawley,"[-115.5510001635, 32.9800887101]",Imperial County,Government/Public Use (General),"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Latter Day Saints Church",67552.0,CA,2019,92227
03.23.300.012,33.7,,67530.0,Agricultural,Traer,"[-92.4538376242, 42.2449267477]",Tama County,Agricultural,"Deseret Trust Co, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Intellectural Reserve Inc, Alan Bott",67530.0,IA,2019,50675
33-79-19-4-0-200100,1.24,,6414.0,Vacant Land,Casper,"[-106.3638874021, 42.8097405273]",Natrona County,Residential Vacant Land,"Temple Salt Lake, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Intellectural Reserve Inc, Corporation Of The Presiding Bishop Of T, Corporation of The Presiding Bishop",67518.0,WY,2019,82604
08-086-0047,4.75,75 N 100 E,67500.0,Vacant Land,Brigham City,"[-112.7097483314, 41.9670770573]",Box Elder County,Residential Vacant Land,Lds Cpb,67500.0,UT,2019,84302
2841-002-072,2.2198,27038 Sand Canyon Rd,67451.0,Vacant Land,Santa Clarita,"[-118.4155237681, 34.3996628517]",Los Angeles County,Residential Vacant Land,"Church of Jesus Christ-Lds, Lds Church",67451.0,CA,2019,91387
03.28.100.004,38.0,,67350.0,Agricultural,Traer,"[-92.487587154, 42.2340059331]",Tama County,Agricultural,"Deseret Trust Co, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Intellectural Reserve Inc, Alan Bott",67350.0,IA,2019,50675
12-44-23-C2-02360.0000,3.8648,418 Ne 5Th Ter,67340.0,Vacant Land,Cape Coral,"[-81.9638181696, 26.6624941435]",Lee County,Commercial Vacant Land,"Church of Jesus Christ of Lat, Church of Jesus Christ of LDS, Church of Jesus Christ of Latt",67340.0,FL,2019,33909
15779,0.19,,,Public & Semi-Public,,"[-113.5773654488, 37.1021707668]",Washington County,Tax Exempt,Lds Corp Of Pres Of Church,67300.0,UT,2019,
254-030-028-000,2.9,,67291.0,Easements/Personal Prop/Other,Porterville,"[-118.9988222333, 36.0714626674]",Tulare County,Miscellaneous,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Church Jesus Christ Latter Day Saints",67291.0,CA,2019,93257
07-721-0001,0.79,,,Vacant Land,,"[-111.9617069104, 41.1580012448]",Weber County,Residential Vacant Land,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Presiding Bishop Of The, The Church of Jesus Christ of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The, Corporation of The Presiding Bishop",67280.0,UT,2019,
3026600,2.5909,16Th St & 1St Ave,,Special Purpose,Belle Plaine,"[-92.2885538252, 41.9000915429]",Benton County,Religious,"Temple Salt Lake, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Intellectural Reserve Inc, Corporation Of The Presiding Bishop Of T, Church Jesus Christ Latter Day Saints",67200.0,IA,2019,52208
18-502-00-01-008.00,66.09,210 Highway O,8060.0,Vacant Land,Excelsior Springs,"[-94.477920439, 39.146221693]",Clay County,Agricultural Land,Property Reserve Inc,67200.0,MO,2019,64024
19.35.400.002,40.0,,67160.0,Agricultural,Chelsea,"[-92.4374232745, 41.8679604412]",Tama County,Agricultural,"Deseret Trust Co, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Intellectural Reserve Inc, Alan Bott",67160.0,IA,2019,52215
02-33-21-006-011-00,39.25,2907 N 1300 East Rd,22365.0,Agricultural,Mansfield,"[-88.5190922945, 40.2277894573]",Piatt County,Farm,Farmland Reserve Inc,67095.0,IL,2019,61854
03-400-01-01-00-0-00-000,105.8379,Levee Rd,8048.0,Vacant Land,Independence,"[-94.3127876653, 39.2126684379]",Jackson County,Agricultural Land,Farmland Reserve Inc,67063.0,MO,2019,64058
14-1353-33-2-03-02-0000,640.0,,67027.0,Agricultural,,"[-105.1343673356, 46.0531965906]",Custer County,Agricultural,Farmland Reserve Inc,67027.0,MT,2019,
03.28.100.003,39.0,2415 145Th St,66980.0,Agricultural,Traer,"[-92.49236462, 42.2340128415]",Tama County,Agricultural,"Deseret Trust Co, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Intellectural Reserve Inc, Alan Bott",66980.0,IA,2019,50675
03-900-03-04-00-0-00-000,82.163,N Hifner St,8036.0,Vacant Land,Independence,"[-94.3214235501, 39.1911004332]",Jackson County,Agricultural Land,Farmland Reserve Inc,66968.0,MO,2019,64058
04.08.200.002,35.48,,66880.0,Agricultural,Buckingham,"[-92.3799736472, 42.2818494852]",Tama County,Agricultural,"Deseret Trust Co, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Intellectural Reserve Inc, Alan Bott",66880.0,IA,2019,50612
RP07S18E203001,40.0,,66880.0,Agricultural,Jerome,"[-114.382589, 42.807309]",Jerome County,Field (All Soil Classes),Farmland Reserve Inc,66880.0,ID,2019,83338
123-030-077,5.14,7750 Eltopia Rd,66800.0,Public & Semi-Public,Pasco,"[-119.1646875262, 46.4602530777]",Franklin County,Government/Public Use (General),Church Of LDS Tax Administration,66800.0,WA,2019,99301
18-18.0-400-008,61.87,,22261.0,Vacant Land,Illiopolis,"[-89.2433815502, 39.8317037602]",Sangamon County,Agricultural Land,Farmland Reserve Inc,66783.0,IL,2019,62539
106933,129.12,73807 Highway 207,28396.0,Agricultural,Echo,"[-119.3760480176, 45.678050824]",Umatilla County,Farm,Farmland Reserve Inc,66710.0,OR,2018,97826
04-08-06-100-001.000-003,44.097,Us Hwy 52,66700.0,Vacant Land,Fowler,"[-87.3639311499, 40.6486170977]",Benton County,Agricultural Land,Farmland Reserve Inc,66700.0,IN,2019,47944
RP03N40E360002,640.0,,66600.0,Public & Semi-Public,,"[-111.6957064198, 43.547298946]",Bonneville County,Tax Exempt,L D S Church Corp Pres Bishop,66600.0,ID,2019,
02-10-202-002,1.36,,66540.0,Special Purpose,Perry,"[-94.0962534833, 41.8481693917]",Dallas County,Special Purpose (General),"Temple Salt Lake, Corporation Of The Presiding Bishop Of T",66540.0,IA,2019,50220
049H-C-033.00,1.33,Turn Table Rd,16625.0,Special Purpose,Sparta,"[-85.4768066322, 35.9440205433]",White County,Religious,Corp Presiding Bishop,66500.0,TN,2019,38583
12-033-0037,1.625,,66438.0,Public & Semi-Public,Clearfield,"[-112.0647778627, 41.1112614769]",Davis County,Government/Public Use (General),Corp. of Pres Bishop of LDS Chu,66438.0,UT,2019,84015
501-12-930-A,62.6271,,9958.0,Agricultural,,"[-112.4161565511, 33.6190457844]",Maricopa County,Field (All Soil Classes),Suburban Land Reserve Inc,66385.0,AZ,2019,
12.18.400.001,40.0,,66380.0,Agricultural,Winthrop,"[-91.7033187885, 42.4334411667]",Buchanan County,Agricultural,"Deseret Trust Co, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Intellectural Reserve Inc, Alan Bott",66380.0,IA,2019,50682
98403-84-03-16600,0.41,1701 N Hickory Ave,,Special Purpose,Broken Arrow,"[-95.802124012, 36.071034994]",Tulsa County,Parking Structure,Presiding Bishop Of The Church Of Jesus Christ Of,66315.0,OK,2019,74012
00300-00307-00540-000000,21.51,Cr3201 County Road 3201 Mckinley Rd,2550.0,Vacant Land,Pearsall,"[-99.05624607, 28.795806452]",Frio County,Agricultural Land,Latter-Day Saints,66250.0,TX,2019,78061
3394501100,4.73,1332 Cornell St,66220.0,Public & Semi-Public,Middleton,"[-116.6050632113, 43.70549394]",Canyon County,Tax Exempt,"Temple Salt Lake, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Intellectural Reserve Inc, Corporation Of The Presiding Bishop Of T, Presiding Bishop Of The, The Church of Jesus Christ of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The",66220.0,ID,2019,83644
16-28-309-011-0000,0.25,1426 E Woodland Ave,66200.0,Public & Semi-Public,Salt Lake City,"[-111.8501998108, 40.7014762443]",Salt Lake County,Government/Public Use (General),Corp Of Pb Of Church Of Jc Of LDS,66200.0,UT,2019,84106
01-13-000-0002,162.24,,3253.0,Vacant Land,,"[-111.2185509853, 41.1725926897]",Rich County,Forest,Farmland Reserve Inc,66166.0,UT,2019,
01-039-0072,0.23,,66152.0,Vacant Land,Ogden,"[-111.9690192853, 41.2283225872]",Weber County,Commercial Vacant Land,Suburban Land Reserve Inc,66152.0,UT,2019,84401
05-04-05-300-004,40.7,,23040.0,Vacant Land,Argenta,"[-88.7751727506, 40.0419317038]",Macon County,Agricultural Land,Farmland Reserve Inc,66145.0,IL,2019,62501
9013-29-326-001,40.0,,66050.0,Vacant Land,Cedar Falls,"[-92.409016229, 42.5759311502]",Black Hawk County,Agricultural Land,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Alan Bott, Deseret Trust Co, Corporation Of The President Of The Church Of Jesus Christ Of Latter +, West Mountain Orchards",66050.0,IA,2019,50613
3340100000,36.87,Sunny Slope Rd,65960.0,Agricultural,Caldwell,"[-116.7987052613, 43.5930990336]",Canyon County,Farm,"Temple Salt Lake, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Intellectural Reserve Inc, Corporation Of The Presiding Bishop Of T, Presiding Bishop Of The, The Church of Jesus Christ of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The",65960.0,ID,2019,83607
RP03N36E111801,240.0,7874 W 113Th N,65954.0,Public & Semi-Public,Idaho Falls,"[-112.1879234419, 43.6031186992]",Bonneville County,Tax Exempt,L D S Church Corp Pres Bishop,65954.0,ID,2019,83402
11.13.100.004,40.0,,65910.0,Agricultural,Winthrop,"[-91.7265509953, 42.437248239]",Buchanan County,Agricultural,"Deseret Trust Co, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Intellectural Reserve Inc, Alan Bott",65910.0,IA,2019,50682
19.35.400.001,40.0,,65880.0,Agricultural,Chelsea,"[-92.4423044954, 41.8679506321]",Tama County,Agricultural,"Deseret Trust Co, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Intellectural Reserve Inc, Alan Bott",65880.0,IA,2019,52215
R3868,36.0,Lcr 131,1370.0,Agricultural,,"[-96.8201577655, 31.7111730266]",Limestone County,Agricultural,Farmland Reserve Inc,65780.0,TX,2019,
065D-D-010.00,24.7,580 Cedar Springs Rd,19710.0,Special Purpose,Athens,"[-84.599474641, 35.4344316198]",Mcminn County,Religious,Church Latter Day Saints,65700.0,TN,2019,37303
M40-0006-0-7-30-100-6001,9.132,Wayne Trace Rd,22980.0,Vacant Land,Eaton,"[-84.6112697589, 39.7418339779]",Preble County,Commercial Vacant Land,"Latter Day Saints, Latter Day Saints Church",65670.0,OH,2019,45320
910677,0.18,,36526.0,Commercial General/Misc.,,"[-123.0583615269, 43.7927039058]",Lane County,Commercial (General),Church-Jesus Christ-Lds,65634.0,OR,2019,
5680-09-3-00-001-00,720.49,,6232.0,Agricultural,Sheridan,"[-106.500162, 44.825618]",Sheridan County,Pasture,Farmland Reserve Inc,65609.0,WY,2019,82801
11-30-204-005,2.2584,2727 Cliff Rd,65600.0,Public & Semi-Public,Burlington,"[-91.1291631046, 40.8376835455]",Des Moines County,Tax Exempt,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Church of Jesus Christ of Latter Day Saints",65600.0,IA,2019,52601
26-15-200-002,40.0,,21856.0,Agricultural,,"[-87.8078986596, 40.0251311907]",Vermilion County,Farm,Farmland Reserve Inc,65568.0,IL,2019,
RP10S19E321200A,40.0,,65551.0,Vacant Land,Hansen,"[-114.2570832223, 42.5132531713]",Twin Falls County,General Vacant Land,Farmland Reserve Inc,65551.0,ID,2019,83334
401425,1.03,,65500.0,Vacant Land,Virgin,"[-113.1890498068, 37.2006100011]",Washington County,Residential Vacant Land,Lds Corp Of Pres Of Church,65500.0,UT,2019,84779
31-04-100-003,157.96,,65480.0,Agricultural,Arrowsmith,"[-88.6346330044, 40.3966219056]",Mclean County,Agricultural,Farmland Reserve Inc,65480.0,IL,2019,61722
125-08-0920,0.2194,,11786.0,Special Purpose,Tucson,"[-110.9363419628, 32.2232098972]",Pima County,Parking Structure,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Presiding Bishop Of The, The Church of Jesus Christ of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The, Corporation of The Presiding Bishop",65478.0,AZ,2019,85719
156290000,1.5,,65450.0,Special Purpose,Vancouver,"[-122.618130032, 45.6916130586]",Clark County,Religious,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Latter Day Saints Church",65450.0,WA,2019,98665
9013-29-251-001,40.0,,65420.0,Vacant Land,Cedar Falls,"[-92.4041174601, 42.5795548741]",Black Hawk County,Agricultural Land,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Alan Bott, Deseret Trust Co, Corporation Of The President Of The Church Of Jesus Christ Of Latter +, West Mountain Orchards",65420.0,IA,2019,50613
303-47-1740,1.62,,10332.0,Special Purpose,Sahuarita,"[-110.9895129366, 31.928647916]",Pima County,Parking Structure,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Presiding Bishop Of The, The Church of Jesus Christ of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The, Corporation of The Presiding Bishop",65395.0,AZ,2019,85629
03-002-005-00,117.8,,65350.0,Vacant Land,Beason,"[-89.1776336335, 40.1262898009]",Logan County,Agricultural Land,Farmland Reserve Inc,65350.0,IL,2019,62512
RP07S17E238402,70.62,,65324.0,Agricultural,Jerome,"[-114.426367, 42.798138]",Jerome County,Field (All Soil Classes),Farmland Reserve Inc,65324.0,ID,2019,83338
0531-42-2049,3.0,Andrews Rd,65306.0,Vacant Land,Fayetteville,"[-78.8853494853, 35.1570564608]",Cumberland County,General Vacant Land,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Presiding Bishop Of The, The Church of Jesus Christ of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The, Corporation of The Presiding Bishop",65306.0,NC,2019,28311
125-08-0900,0.1613,,11754.0,Retail,Tucson,"[-110.9361927973, 32.2228281943]",Pima County,Retail Stores,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Presiding Bishop Of The, The Church of Jesus Christ of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The, Corporation of The Presiding Bishop",65302.0,AZ,2019,85719
270610-004-032-00,0.98,,65300.0,Special Purpose,Snohomish,"[-122.0156376586, 47.8387568194]",Snohomish County,Religious,Lds Church Tax Division,65300.0,WA,2019,98290
RP11S21E029599,7.53,,65197.0,Agricultural,,"[-113.9523705962, 42.4886198287]",Cassia County,Agricultural,Farmland Reserve Inc,65197.0,ID,2019,
90050000,125.0,,9761.0,Agricultural,Greenville,"[-90.809389152, 33.3449084656]",Washington County,Agricultural,Farmland Reserve Inc,65070.0,MS,2019,38703
25-26-300-004,153.09,,65065.0,Agricultural,Rochelle,"[-88.9747395134, 41.9097809479]",Ogle County,Agricultural,Farmland Reserve Inc,65065.0,IL,2018,61068
00000921-00,76.61,,65013.0,Agricultural,,"[-111.9885231704, 42.1672844924]",Franklin County,Agricultural,Corporation of The Presiding Bishop,65013.0,ID,2019,
RP08S23E3500D3,65.01,,65010.0,Vacant Land,Rupert,"[-113.742518152, 42.6819730887]",Minidoka County,Agricultural Land,Church LDS,65010.0,ID,2019,83350
583131,0.43,1160 Lava Flow Dr,65000.0,Public & Semi-Public,St George,"[-113.6337792724, 37.1278994629]",Washington County,Tax Exempt,Lds Corp Of Pres Of Church,65000.0,UT,2019,84770
467459,0.75,625 E Telegraph St,2650100.0,Public & Semi-Public,Washington,"[-113.4988904218, 37.1297092811]",Washington County,Tax Exempt,Lds Corp Of Pres Of Church,65000.0,UT,2019,84780
73778,0.42,,,Public & Semi-Public,,"[-113.2949470274, 37.1812325082]",Washington County,Tax Exempt,Lds Corp Of Pres Of Church,65000.0,UT,2019,
97348,0.45,3040 Santa Clara Dr,65000.0,Public & Semi-Public,Santa Clara,"[-113.6542601032, 37.1333161915]",Washington County,Tax Exempt,Lds Corp Of Pres Of Church,65000.0,UT,2019,84765
28-07-253-021-0000,0.58,9683 S David St,65000.0,Easements/Personal Prop/Other,Sandy,"[-111.8784848987, 40.5750036837]",Salt Lake County,Miscellaneous,Corp Of Pb Of Ch Jc Of LDS,65000.0,UT,2019,84070
2228,80.0,,3040.0,Vacant Land,,"[-100.0676032935, 34.0640594333]",Cottle County,Agricultural Land,Farmland Reserve Inc,65000.0,TX,2019,
350045828,128.37,,51990.0,Agricultural,,"[-102.5971706238, 41.9717002083]",Garden County,Agricultural,Farmland Reserve Inc,64988.0,NE,2019,
44-1607-05-1-01-01-0000,627.4,,64957.0,Vacant Land,Harlowton,"[-109.6227764321, 46.3960590356]",Wheatland County,Agricultural Land,Farmland Reserve Inc,64957.0,MT,2019,59036
280835-004-068-00,1.29,,64900.0,Vacant Land,Sultan,"[-121.7362972527, 47.8685713978]",Snohomish County,General Vacant Land,Lds Church Tax Division,64900.0,WA,2019,98294
052203-9024,9.85,,64900.0,Vacant Land,Vashon,"[-122.4517827039, 47.4251207955]",King County,Residential Vacant Land,"Church of Jesus Christ LDS, Church of Jesus Christ-Lds",64900.0,WA,2019,98070
19-18-100-001,34.14,,64890.0,Agricultural,,"[-91.841749758, 42.6999328931]",Fayette County,Agricultural,"Deseret Trust Co, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Intellectural Reserve Inc, Alan Bott",64890.0,IA,2019,
07-24-200-001,80.0,,21629.0,Agricultural,Belvidere,"[-88.8295843931, 42.1933175225]",Boone County,Farm,Farmland Reserve Inc,64887.0,IL,2019,61008
00574-00073-00000-001675,71.0,,3070.0,Vacant Land,Crowell,"[-100.0278967386, 34.1758756769]",Foard County,Agricultural Land,Farmland Reserve Inc,64850.0,TX,2019,79227
17-36-400-002,156.82,,64847.0,Agricultural,Saybrook,"[-88.5785776224, 40.4894081777]",Mclean County,Agricultural,Farmland Reserve Inc,64847.0,IL,2019,61770
RP03N36E114201,240.0,50 E N Temple,64814.0,Public & Semi-Public,Idaho Falls,"[-112.1978518912, 43.6031338731]",Bonneville County,Tax Exempt,L D S Church Corp Pres Bishop,64814.0,ID,2019,83402
RPOK801000002BA,30.19,,64696.0,Easements/Personal Prop/Other,Kimberly,"[-114.3978170495, 42.5130162584]",Twin Falls County,Miscellaneous,"Corp Of The Presiding, Bishop Of The Church Of Jesus",64696.0,ID,2019,83341
570035779,640.0,,7763.0,Vacant Land,,"[-96.5697615065, 36.9487745056]",Osage County,Agricultural Land,Farmland Reserve Inc,64689.0,OK,2019,
350042071,127.67,,51706.0,Agricultural,,"[-102.3987038822, 41.8766401235]",Garden County,Agricultural,Farmland Reserve Inc A Utah Nonprofit Corp,64633.0,NE,2019,
06.13.100.004,38.79,,64620.0,Agricultural,Independence,"[-91.8578923193, 42.5214100959]",Buchanan County,Agricultural,"Deseret Trust Co, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Intellectural Reserve Inc, Alan Bott",64620.0,IA,2019,50644
03.01.400.005,34.19,,64580.0,Agricultural,Buckingham,"[-92.4202095741, 42.2892506481]",Tama County,Agricultural,"Deseret Trust Co, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Intellectural Reserve Inc, Alan Bott",64580.0,IA,2019,50612
62-700-03-14-00-0-00-000,5.016,14812 Sw Chapman Rd,12035.0,Vacant Land,Lees Summit,"[-94.412120175, 38.883861303]",Jackson County,Residential Vacant Land,Property Reserve Inc,64562.0,MO,2019,64082
62-700-03-13-00-0-00-000,5.0108,14808 Sw Chapman Rd,12025.0,Vacant Land,Lees Summit,"[-94.4130447645, 38.8838940908]",Jackson County,Residential Vacant Land,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Property Reserve Inc",64512.0,MO,2019,64082
570035766,640.0,,7735.0,Vacant Land,,"[-96.4976288727, 36.9779515619]",Osage County,Agricultural Land,Farmland Reserve Inc,64460.0,OK,2019,
12.19.100.004,40.0,,64420.0,Agricultural,Winthrop,"[-91.7082511844, 42.4225128448]",Buchanan County,Agricultural,"Deseret Trust Co, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Intellectural Reserve Inc, Alan Bott",64420.0,IA,2019,50682
01209-00042-00000-002715,75.7,,2200.0,Vacant Land,Crowell,"[-99.9661667396, 34.1950359227]",Foard County,Agricultural Land,Farmland Reserve Inc,64350.0,TX,2019,79227
17-05-10-300-003,118.35,,64320.0,Agricultural,Rochelle,"[-89.1054726057, 41.8632673056]",Lee County,Agricultural,Farmland Reserve Inc,64320.0,IL,2018,61068
11.13.200.003,40.0,,64310.0,Agricultural,Winthrop,"[-91.7216944986, 42.4371638779]",Buchanan County,Agricultural,"Deseret Trust Co, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Intellectural Reserve Inc, Alan Bott",64310.0,IA,2019,50682
